Time Window,Size Bin,Relative Growth (%)
2011-2020,1 - 4,11.2
2011-2020,5 - 9,46.8
2011-2020,10 - 19,84.2
2011-2020,20 - 29,110.8
2011-2020,30 - 39,154.5
2011-2020,40 - 49,138.2
2011-2020,50 - 59,180
2011-2020,60 - 69,64.3
2011-2020,70 - 79,433.3
2011-2020,80 - 89,150
2011-2020,90 - 99,500
2011-2020,100 +,158.3
2006-2015,1 - 4,40.9
2006-2015,5 - 9,76.7
2006-2015,10 - 19,96.4
2006-2015,20 - 29,100.5
2006-2015,30 - 39,183.9
2006-2015,40 - 49,88.9
2006-2015,50 - 59,-16.7
2006-2015,60 - 69,100
2006-2015,70 - 79,200
2006-2015,80 - 89,300
2006-2015,90 - 99,0
2006-2015,100 +,500
2001-2010,1 - 4,54.6
2001-2010,5 - 9,87
2001-2010,10 - 19,118.7
2001-2010,20 - 29,175.9
2001-2010,30 - 39,14.8
2001-2010,40 - 49,260
2001-2010,50 - 59,800
2001-2010,60 - 69,250
2001-2010,70 - 79,NA
2001-2010,80 - 89,0
2001-2010,90 - 99,0
2001-2010,100 +,0
